@type,@id,@lat,@lon,name,name:hu,alt_name,alt_name:hu,old_name,old_name:hu,url:miserend
node,3555929171,47.8784411,24.0258752,Biserica Catolică,Nepomuki Szent János templom,,,,,https://miserend.hu/templom/4684
node,3589507982,46.2262445,24.4443212,Biserica Romano-Catolică Sfântul Ladislau,Szentháromság templom,,,,,https://miserend.hu/templom/3246
node,3594904803,46.1248093,24.0389623,Biserica Romano-Catolică Valea Lungă (1882),Nagyboldogasszony templom,,,,,https://miserend.hu/templom/3245
node,3632595380,47.4537753,23.8634529,Biserica Catolică,Szent Kereszt felmagasztalása templom,,,,,https://miserend.hu/templom/3419
node,3632595892,47.6636559,23.8614272,Biserica Romano-Catolică,Szent Borbála szűz és vértanú-templom,,,,,https://miserend.hu/templom/3418
node,3633502463,46.3392854,25.3809001,Biserica Romano-Catolică,Szent Imre herceg-templo,,,,,https://miserend.hu/templom/3613
node,3651340269,46.8793961,16.4987670,Szent István király-iskolakápolna,,,,,,http://miserend.hu/?templom=2373
node,3674764880,46.7802476,17.1896404,Szűz Mária keresztények segítsége-kápolna,,Mária Oltalom Háza és Szent Lukács Otthoni kápolna,,,,http://miserend.hu/?templom=2769
node,3741183326,47.4929339,19.0520091,Kalazanci Szent József-kápolna,,Duna-parti Piarista kápolna,,,,http://miserend.hu/?templom=42
node,3741432968,47.5277743,19.1643104,Fájdalmas Szűzanya-kápolna,,Rákosszentmihály - Csömöri úti kápolna,,,,http://miserend.hu/?templom=70
node,3741752825,47.6888514,17.6355344,Magyar Ispita templom,,Szent Anna-templom,,,,http://miserend.hu/?templom=117
node,3749290862,46.8314000,18.6370000,Avilai Nagy Szent Teréz-kápolna,,Rétszilasi kápolna,,,,http://miserend.hu/?templom=299
node,3751341457,46.8986293,18.9298632,Sarlós Boldogasszony iskolakápolna,,,,,,http://miserend.hu/?templom=519
node,3751341458,46.7913657,18.7346537,Szűz Mária Szeplőtelen Szíve-templom,,,,,,http://miserend.hu/?templom=511
node,3751453784,46.8395207,18.5184911,Szent Kereszt felmagasztalása-kápolna,,Pusztaegresi templom,,,,http://miserend.hu/?templom=529
node,3759318981,47.2404154,16.6178237,Gyümölcsoltó Boldogasszony-templomigazgatóság,,(Annunciata nővérek volt kápolnája),,,,http://miserend.hu/?templom=1426
node,3769868957,47.5159707,19.0373042,Imaterem,,,,,,http://miserend.hu/?templom=4996
node,3769868958,46.9012049,16.7688742,Keresztelő Szent János-templom,,,,,,http://miserend.hu/?templom=5292
node,3769868959,48.0721967,20.3315967,Szent Márton püspök-templom,,,,,,http://miserend.hu/?templom=5256
node,3769868960,48.0978121,20.6897086,Szent Hedvig királynő-kápolna,,,,,,http://miserend.hu/?templom=5257
node,3769875311,47.8747254,19.3735058,Szent Mihály-templom,,,,,,http://miserend.hu/?templom=282
node,3769875313,47.4404870,18.1206586,Szűz Mária Királynő-templom,,,,,,http://miserend.hu/?templom=474
node,3769943159,46.0871319,24.1081802,Szentháromság templom,,,,,,http://miserend.hu/?templom=3244
node,3771359020,46.6829337,18.5974753,Iskola templom,,,,,,http://miserend.hu/?templom=2517
node,3775688208,47.4773706,16.7616116,Kisboldogasszony-kápolna,,Kisgógánfai kápolna,,,,http://miserend.hu/?templom=5099
node,3779078004,47.4108608,17.7297060,Szent Anna-templom,,,,,,http://miserend.hu/?templom=5314
node,3779078015,45.9455370,17.9819987,Iskolakápolna,,,,,,http://miserend.hu/?templom=5336
node,3802683961,47.4780246,19.0539357,Szent Tádé-kápolna,,Kruspér utcai kápolna,,,,http://miserend.hu/?templom=2190
node,3803944018,47.6863911,16.5972382,Szentháromság-kápolna,,Halász utcai kápolna,,,,http://miserend.hu/?templom=640
node,3806927583,46.4952069,16.6588109,Antiochiai Szent Margit-iskolakápolna,,,,,,http://miserend.hu/?templom=2965
node,3820853004,47.7194327,18.8893398,Kápolna a Jezsuita Rendházban,,Dobogókői kápolna,,,,http://miserend.hu/?templom=5066
node,3827508822,47.3044742,17.5398029,Szűz Mária neve-imaház,,,,,,http://miserend.hu/?templom=5213
node,3827508823,46.8746776,16.8237439,Szűz Mária neve-iskolakápolna,,ságodi iskolakápolna,,,,http://miserend.hu/?templom=2685
node,3828499948,46.2075208,19.0424098,Toursi Szent Márton kápolna,,Mártonszállás iskolakápolna,,,,http://miserend.hu/?templom=877
node,3828545628,46.0097000,17.3596000,Urunk mennybemenetele kápolna,,,,,,http://miserend.hu/?templom=4515
node,3840004145,47.5432574,19.0395560,Szent József templomigazgatóság,,,,,,http://miserend.hu/templom/2029
node,3841768147,46.8954393,17.3374512,Szentlélek-kápolna,,,,,,http://miserend.hu/?templom=5017
node,3849125287,47.5985270,21.5810040,Szent György-templom,,,,,,http://miserend.hu/?templom=5355
node,4041214117,47.4777357,19.0316439,Gyümölcsoltó Boldogasszony kápolna,,,,,,http://miserend.hu/templom/2386
node,4264812489,46.8904505,17.1312183,Szentháromság-kápolna,,Kemence kápolna,,,,https://miserend.hu/templom/2696
node,4311923500,47.8996035,20.3771610,Angolkisasszonyok kápolnája,,,,,,http://miserend.hu/?templom=5367
node,4530255056,47.9008112,21.7022935,Szent Jakab Görögkatolikus kápolna,,Rozsrétszőlői görögkatolikus templom,,,,https://miserend.hu/templom/5175
node,4712500832,47.7016428,22.4911983,Szent József templom,,,,,,https://miserend.hu/templom/3562
node,4777174762,46.2498741,20.1456299,Szegedi Római Katolikus Egyetemi Lelkészség,,Szentlélek-kápolna,,,,https://miserend.hu/templom/5134
node,4934382761,46.4040426,23.8116411,Biserica Catolică,Szent László király templom,,,,,https://miserend.hu/templom/3428
node,5106793194,46.5253890,23.6963288,Biserica Romano Catolică Sfânta Tereza,Nagyboldogasszony templom,,,,,https://miserend.hu/templom/3433
node,5265747309,46.1183871,22.8524509,Biserica Romano-Catolică Nașterea Sfintei Fecioarei Maria Crișcior (1953),Jézus Szent Szíve-templom,,,,,https://miserend.hu/templom/3189
node,5268093800,46.1686189,24.3528270,"Biserica Romano-Catolică ""Imaculata Concepție""",Szeplőtelen Fogantatás templom,,,,,https://miserend.hu/templom/3163
node,5282137723,47.6700896,19.0736230,Ferences Kápolna,,,,,,https://miserend.hu/templom/5254
node,5283565475,45.4098148,23.3142865,Biserica Catolică,Kisboldogasszony templom,,,,,https://miserend.hu/templom/3109
node,5283576425,45.3560466,23.2231815,Biserica Romano-Catolică Lupeni (1904),Szent Borbála-templom,,,,,https://miserend.hu/templom/3123
node,5283601844,45.4468787,23.4168781,Biserica Romano-Catolică Lonea,Jézus Szent Szíve templom,,,,,https://miserend.hu/templom/3121
