id,nev,ismertnev,orszag,megye,varos,cim,osmid,osmtype,lat,lon
4276,Boldog Kalkuttai Teréz-templom,újszegedi Boldog Kalkuttai Teréz-templom,12,6,Szeged,Fő fasor 101.,371483535,way,46.2423118,20.1812783
4277,Istenanya-kápolna,újvárosi iskolakápolna,12,12,Tatabánya,Szent Margit u. 1.,8577562003,node,47.5963548,18.3903295
4278,Föltámadott Krisztus-templom,Pongrác úti templom,12,5,Budapest X. kerület,,375916802,way,47.4858264,19.1244205
4279,Nagyboldogasszony  templom,Moftinu Mare,25,0,Nagymajtény,,1883120399,node,47.675338,22.6571525
4280,Urunk Mennybemenetele templom,Szatmárnémeti/Satu-Mare/Székesegyház,25,0,Szatmárnémeti,,367726003,way,47.7926623,22.8764687
4281,Jézus Szent Szíve templom,Szatmárnémeti/Satu-Mare/Kálvária templom,25,0,Szatmárnémeti,,378496578,way,47.7903379,22.8755063
4282,Rózsafüzér királynéja-templom,,12,15,Balatonújlak,Kossuth u. 84.,359580142,way,46.673474,17.3867176
4283,Szent Borbála-templom,boronkai Szent Borbála-templom,12,15,Marcali,"Boronka, Váci Mihály u.",375916821,way,46.5923318,17.4478637
4284,Jézus Szíve-templom,gyótapusztai templom,12,15,Marcali,Gyótapuszta,NULL,NULL,46.5433006,17.4713993
4285,Páduai Szent Antal-templom,,12,15,Somogyszentpál,Kossuth tér,296543097,way,46.6412237,17.4736074
4286,Magyarok Nagyasszonya-templom,,12,15,Beleg,,375916811,way,46.3156589,17.4106663
4287,Szűz Mária neve-templom,,12,15,Szabás,Fő út,375916838,way,46.2902419,17.447783
4288,Rózsafüzér királynéja-templom,,12,15,Kisbajom,,375916816,way,46.3058826,17.4895546
4289,Krisztus Király-kápolna,,12,15,Nagykorpád,,375916805,way,46.2589157,17.4549685
4290,Páduai Szent Antal-templom,,12,15,Kelevíz,Vörösmarty u. 46.,371590088,way,46.5233607,17.4191638
4291,Keresztelő Szent János-templom,,12,15,Gadány,Fő u. 46.,375916804,way,46.514171,17.3926756
4292,Szent Péter és Pál-templom,,12,15,Szenyér,,375916831,way,46.4536963,17.3701125
4293,Oltáriszentség szerzése iskolakápolna,,12,15,Pálmajor,,917132381,way,46.3846578,17.5667194
4294,Rózsafüzér királynéja-kápolna,,12,15,Vése,Fő u. 29,910393550,way,46.4110876,17.2913688
4295,Rózsafüzér királynéja-templom,,12,15,Somogyzsitfa,Mártírok utca 42.,375916817,way,46.5669601,17.2940748
4296,Szent Anna-templom,horvátkúti templom,12,15,Marcali,"Horvátkút, Deák Ferenc u.",375916819,way,46.5907474,17.3430445
4297,Nagyboldogasszony-templom,,12,15,Csákány, Fő u. 63.,375916814,way,46.5353549,17.2728498
4298,Magyarok Nagyasszonya-templom,,12,15,Szőkedencs,,380401304,way,46.5579748,17.2495831
4299,Szentháromság-templom,,12,15,Sávoly,Kossuth u.,374259635,way,46.5908175,17.2683806
4300,Szűz Mária Szeplőtelen Szíve-templom,,12,15,Főnyed, Kossuth u. 42.,375916836,way,46.6304353,17.25618
4301,Szent Imre-templom,,12,15,Szegerdő,Kossuth u.,375916825,way,46.6340664,17.2737747
4302,Kápolna,szőcsénypusztai kápolna,12,15,Somogyzsitfa,"Szőcsénypuszta, Ady E. u. 41.",375916833,way,46.5303183,17.3163832
4303,Szent István király-templom,,12,15,Nagyszakácsi,Kossuth L. u. 154.,375916826,way,46.4878149,17.3202595
4304,Magyarok Nagyasszonya-kápolna,,12,15,Újvárfalva,Szabadság tér,8454109321,node,46.433916,17.5736253
4305,Rózsafüzér királynéja-kápolna,nadalosi kápolna,12,15,Újvárfalva,"Nadalos, Dózsa Gy u.",375916815,way,46.4661475,17.5638427
4306,Urunk mennybemenetele-kápolna,,12,15,Bolhás,,371590110,way,46.2621564,17.2740524
4307,Rózsafüzér királynéja kápolna,Darvaspusztai kápolna,12,15,Kaszó,Darvaspuszta,293222890,way,46.34374,17.2049492
4308,Fájdalmas Szűz-kápolna,kegykápolna a Fájdalmas Szűz tiszteletére,12,15,Segesd,,375916801,way,46.339949,17.3475545
4309,Jézus Szíve-templom,drávaszentesi templom,12,15,Barcs,"Drávaszentes, Tarnócai u.",322592395,way,45.9980632,17.4199106
4310,Szent József-templom,,12,2,Gyöngyösmellék,Kossuth u. 1.,375916827,way,45.9869743,17.6965476
4311,Szent Tekla templom,,12,2,Teklafalu,,359821709,way,45.9510412,17.7282046
4312,Kármelhegyi Boldogasszony-templom,,12,2,Zádor,Kossuth u. 8.,359580138,way,45.9660102,17.6567058
4313,Jézus Szíve-templom,,12,15,Darány,,305778617,way,45.9849757,17.5899435
4314,Szent Vendel-templom,,12,15,Drávatamási,,375916832,way,45.944023,17.571689
4315,Szent Erzsébet-kápolna,,12,15,Istvándi,Kossuth u. 49.,8473121814,node,46.0164635,17.6229416
4316,Nagyboldogasszony-templom,,12,15,Kastélyosdombó,"H-7977, Fő u. 6.",375916813,way,45.9552504,17.6173309
4317,Misézőhely,,12,14,Mikebuda,Kultúrház,8485000944,node,47.156672,19.6151086
4318,Misézőhely,hosszúvölgyi Imaház,12,20,Hosszúvölgy,,914749612,way,46.5145271,16.9336511
4319,Krisztus Király-templom,bányai templom,12,15,Bárdudvarnok,Bánya,NULL,NULL,46.2589989,17.6641998
4320,Magyarok Nagyasszonya-templom,,12,15,Hencse,"7532, Kossuth Lajos u. 41.",380401305,way,46.1982328,17.6235703
4321,Szent Vendel-kápolna,,12,15,Kőkút,Hősök tere 1.,8421059674,node,46.1920267,17.5786962
4322,Szent Márton püspök-templom,,12,15,Csököly,"7526, Petőfi u. 64.",167669760,way,46.3001634,17.5574922
4323,Urunk mennybemenetele-kápolna,,12,15,Gige,Kossuth u. 11.,379543897,way,46.3029315,17.6085975
4325,Szent Kereszt-templom,,12,15,Mike, Kossuth u. 28.,375916828,way,46.2371627,17.533029
4326,Magyarok Nagyasszonya-templom,,12,15,Jákó,"7525, Kossuth u. 111.",375916808,way,46.3356608,17.5518639
